section,training_seed,split,prediction_source,score_or_state,region,window_sec,metric,legacy_value,final_value,signed_difference_final_minus_legacy,absolute_difference,exactly_equal
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,auroc,0.7557033182083376,0.7557033182083376,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,aupr,0.5253659335958599,0.5253659335958599,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,near_boundary,20.0,auroc,0.6513087447947651,0.6513087447947651,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,near_boundary,20.0,aupr,0.690731291784663,0.690731291784663,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,auroc,0.7567776360119838,0.7567776360119838,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,aupr,0.5175922201642787,0.5175922201642787,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,near_boundary,5.0,auroc,0.5983802816901408,0.5983802816901408,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,near_boundary,5.0,aupr,0.6459185076406175,0.6459185076406175,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,far_from_boundary,5.0,auroc,0.7620296504613799,0.7620296504613799,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,far_from_boundary,5.0,aupr,0.541649006034504,0.541649006034504,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,near_boundary,10.0,auroc,0.6239312977099237,0.6239312977099237,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,near_boundary,10.0,aupr,0.6654788658537115,0.6654788658537115,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,far_from_boundary,10.0,auroc,0.762876102388584,0.762876102388584,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,far_from_boundary,10.0,aupr,0.538021617369111,0.538021617369111,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,near_boundary,20.0,auroc,0.653653579218719,0.653653579218719,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,near_boundary,20.0,aupr,0.6859094317206109,0.6859094317206109,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,far_from_boundary,20.0,auroc,0.7640523131810271,0.7640523131810271,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,normalised_entropy,far_from_boundary,20.0,aupr,0.5307299509686829,0.5307299509686829,0.0,0.0,True
conditional_error_detection,0,val,mc_dropout_t30,mc_entropy,near_boundary,5.0,auroc,0.5960957797907449,0.6119234301052483,0.015827650314503394,0.015827650314503394,False
