section,split,prediction_source,score_or_state,region,window_sec,metric,direction,value_mean,value_std,n_training_seeds,n_frames_mean,positive_rate_mean,notes
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,auroc,higher,0.576116453587425,0.04970219190650854,3,242.0,0.5647382920110192,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,aupr,higher,0.6484700306055513,0.045341773878302766,3,242.0,0.5647382920110192,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,auroc,higher,0.5687785231590786,0.0801117152149659,3,462.0,0.5317460317460317,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,aupr,higher,0.613224222325826,0.10227791229124333,3,462.0,0.5317460317460317,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,auroc,higher,0.5861883570251237,0.07157137696689991,3,902.0,0.5051736881005174,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,aupr,higher,0.5852905166560419,0.10741166082932513,3,902.0,0.5051736881005174,AUPR depends on the error prevalence inside this region.
boundary_proximity_detection,test,deterministic_raw,normalised_entropy,near_boundary_is_positive,5.0,auroc,higher,0.5914056610541767,0.01606540334920158,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,normalised_entropy,near_boundary_is_positive,5.0,aupr,higher,0.032865506379734136,0.008712280664849541,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,normalised_entropy,near_boundary_is_positive,10.0,auroc,higher,0.5901262337984137,0.022192145600619547,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,normalised_entropy,near_boundary_is_positive,10.0,aupr,higher,0.060664926444263634,0.013499693918324531,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,normalised_entropy,near_boundary_is_positive,20.0,auroc,higher,0.5787511769501211,0.024579119563551157,3,28060.0,0.0796863863150392,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,normalised_entropy,near_boundary_is_positive,20.0,aupr,higher,0.10664047034992537,0.016301033506872044,3,28060.0,0.0796863863150392,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,one_minus_confidence,near_boundary_is_positive,5.0,auroc,higher,0.5856774496508937,0.015453888427601072,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,one_minus_confidence,near_boundary_is_positive,5.0,aupr,higher,0.02871943581366399,0.0030417015624475525,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,one_minus_confidence,near_boundary_is_positive,10.0,auroc,higher,0.5864318765749726,0.021757557179877894,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,one_minus_confidence,near_boundary_is_positive,10.0,aupr,higher,0.056386921238767006,0.007045775983516981,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,one_minus_confidence,near_boundary_is_positive,20.0,auroc,higher,0.57571452960511,0.027196044800029844,3,28060.0,0.0796863863150392,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,deterministic_raw,one_minus_confidence,near_boundary_is_positive,20.0,aupr,higher,0.1037885028540635,0.011585355016193984,3,28060.0,0.0796863863150392,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_entropy,near_boundary_is_positive,5.0,auroc,higher,0.5901810475744682,0.0172450516783833,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_entropy,near_boundary_is_positive,5.0,aupr,higher,0.03271627383563044,0.00783296711444415,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_entropy,near_boundary_is_positive,10.0,auroc,higher,0.5894319251130252,0.02134587073326603,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_entropy,near_boundary_is_positive,10.0,aupr,higher,0.06011540405176843,0.011568615833959364,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_entropy,near_boundary_is_positive,20.0,auroc,higher,0.5786144664695985,0.02310186441380906,3,28060.0,0.0796863863150392,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_entropy,near_boundary_is_positive,20.0,aupr,higher,0.10603392573159592,0.01407218929123501,3,28060.0,0.0796863863150392,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary_is_positive,5.0,auroc,higher,0.5901913323730844,0.01650821678830138,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary_is_positive,5.0,aupr,higher,0.029935522444776475,0.002528119661425156,3,28060.0,0.021560940841054883,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary_is_positive,10.0,auroc,higher,0.5894331801300766,0.015113502794264417,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary_is_positive,10.0,aupr,higher,0.05637065308171995,0.0034793909097050866,3,28060.0,0.041161796151104775,Positive means within the inclusive ground-truth boundary window.
boundary_proximity_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary_is_positive,20.0,auroc,higher,0.5770941266609845,0.015730786914205295,3,28060.0,0.0796863863150392,Positive means within the inclusive ground-truth boundary window.
