training_seed,split,prediction_source,score,region,window_sec,n_frames,n_errors,error_rate,mean_uncertainty,auroc,aupr
1,test,mc_dropout_t30,mc_mutual_info,near_boundary,5,605,317,0.5239669421487604,0.026986827830637734,0.5628286014721346,0.6052613877379385
1,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,27455,9830,0.3580404297942087,0.02053317426169767,0.6498868855652475,0.5308694309954848
1,test,mc_dropout_t30,mc_mutual_info,near_boundary,10,1155,598,0.5177489177489177,0.026650832338637555,0.5987012363173475,0.6217177800846412
1,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,26905,9549,0.35491544322616614,0.020415670650114064,0.6496476272322395,0.5279816465281608
1,test,mc_dropout_t30,mc_mutual_info,near_boundary,20,2236,1142,0.5107334525939177,0.024646491990199724,0.6110327146639687,0.6271767605812736
1,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,25824,9005,0.3487066294919455,0.02032821306158452,0.6504224337913492,0.5227603476970182
1,val,deterministic_raw,one_minus_confidence,near_boundary,5,242,132,0.5454545454545454,0.2550024078512397,0.47541322314049583,0.5609788979351015
1,val,deterministic_raw,one_minus_confidence,far_from_boundary,5,14730,3727,0.25302104548540394,0.18590299158655804,0.6816739932941673,0.4119716619828221
1,val,deterministic_raw,one_minus_confidence,near_boundary,10,462,227,0.49134199134199136,0.24556925318181816,0.4421220358046677,0.4943613154182066
1,val,deterministic_raw,one_minus_confidence,far_from_boundary,10,14510,3632,0.2503101309441764,0.18515566187456925,0.6855234957716865,0.41243520227695885
1,val,deterministic_raw,one_minus_confidence,near_boundary,20,902,421,0.46674057649667405,0.24712480992239466,0.4849457533543044,0.4758240544516914
1,val,deterministic_raw,one_minus_confidence,far_from_boundary,20,14070,3438,0.2443496801705757,0.18316667165742717,0.6888118004369348,0.4119558333835376
1,val,deterministic_raw,normalised_entropy,near_boundary,5,242,132,0.5454545454545454,0.33621088585195186,0.49800275482093664,0.5901765522209679
1,val,deterministic_raw,normalised_entropy,far_from_boundary,5,14730,3727,0.25302104548540394,0.2600450654414551,0.6896667764902813,0.41714410692691967
1,val,deterministic_raw,normalised_entropy,near_boundary,10,462,227,0.49134199134199136,0.33079668492818304,0.45569406692286063,0.5098224353715639
1,val,deterministic_raw,normalised_entropy,far_from_boundary,10,14510,3632,0.2503101309441764,0.25906263128132223,0.6933699691330276,0.41778584980322414
1,val,deterministic_raw,normalised_entropy,near_boundary,20,902,421,0.46674057649667405,0.333946667727096,0.5028073935437356,0.49582815781911316
1,val,deterministic_raw,normalised_entropy,far_from_boundary,20,14070,3438,0.2443496801705757,0.2566174096687253,0.6958855098879386,0.4154919675576939
1,val,mc_dropout_t30,mc_entropy,near_boundary,5,242,135,0.5578512396694215,0.6938714242948234,0.5275181723779856,0.6337704453982045
1,val,mc_dropout_t30,mc_entropy,far_from_boundary,5,14730,3758,0.2551255940257977,0.545825310505785,0.7100115209317946,0.4408511757605738
1,val,mc_dropout_t30,mc_entropy,near_boundary,10,462,234,0.5064935064935064,0.684477011128873,0.49201529464687355,0.554228430169206
1,val,mc_dropout_t30,mc_entropy,far_from_boundary,10,14510,3659,0.252170916609235,0.5438797608055149,0.7132368332720923,0.4409117919937342
1,val,mc_dropout_t30,mc_entropy,near_boundary,20,902,430,0.47671840354767187,0.6899793283712375,0.5332922743397714,0.5355986034593611
1,val,mc_dropout_t30,mc_entropy,far_from_boundary,20,14070,3463,0.24612651030561478,0.5391302312891758,0.7159293163154206,0.43790633572270965
1,val,mc_dropout_t30,mc_mutual_info,near_boundary,5,242,135,0.5578512396694215,0.02691108930455747,0.5243336794738664,0.6134463469975218
1,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,14730,3758,0.2551255940257977,0.023213107024685504,0.7411214200081994,0.5357203373635242
1,val,mc_dropout_t30,mc_mutual_info,near_boundary,10,462,234,0.5064935064935064,0.02703239142217415,0.48189383715699496,0.5113602837145526
1,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,14510,3659,0.252170916609235,0.023153176102568982,0.7451798516358972,0.5395533442652821
1,val,mc_dropout_t30,mc_mutual_info,near_boundary,20,902,430,0.47671840354767187,0.028518149761396296,0.5099970437524636,0.477901879959139
1,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,14070,3463,0.24612651030561478,0.022936615422924016,0.7496161049150523,0.5445185328005624
2,test,deterministic_raw,one_minus_confidence,near_boundary,5,605,326,0.5388429752066116,0.20190263558677685,0.577764584295358,0.5867952880463471
2,test,deterministic_raw,one_minus_confidence,far_from_boundary,5,27455,8618,0.3138954653068658,0.1566456852744491,0.7474047394638271,0.5337791870168773
2,test,deterministic_raw,one_minus_confidence,near_boundary,10,1155,586,0.5073593073593073,0.20761518872727272,0.5922791317022259,0.5589777389698203
2,test,deterministic_raw,one_minus_confidence,far_from_boundary,10,26905,8358,0.3106485783311652,0.1554752960698755,0.749677113612903,0.5341869733149611
2,test,deterministic_raw,one_minus_confidence,near_boundary,20,2236,1099,0.4915026833631485,0.20475480848837208,0.6282632408289939,0.5799878656569868
2,test,deterministic_raw,one_minus_confidence,far_from_boundary,20,25824,7845,0.3037871747211896,0.15354037453376704,0.7525110220829477,0.5302101756857577
2,test,deterministic_raw,normalised_entropy,near_boundary,5,605,326,0.5388429752066116,0.27943556390467406,0.5982474657519186,0.6314253946391971
2,test,deterministic_raw,normalised_entropy,far_from_boundary,5,27455,8618,0.3138954653068658,0.2254772174423879,0.757022629665329,0.555467573315173
2,test,deterministic_raw,normalised_entropy,near_boundary,10,1155,586,0.5073593073593073,0.2814375554279021,0.608357276102617,0.5888173923101723
2,test,deterministic_raw,normalised_entropy,far_from_boundary,10,26905,8358,0.3106485783311652,0.22428824175892442,0.7593257413601112,0.555808315009165
2,test,deterministic_raw,normalised_entropy,near_boundary,20,2236,1099,0.4915026833631485,0.2744663333348109,0.6377125443054893,0.5968531398898926
2,test,deterministic_raw,normalised_entropy,far_from_boundary,20,25824,7845,0.3037871747211896,0.22249956628355216,0.7625826689455097,0.5536187744979301
2,test,mc_dropout_t30,mc_entropy,near_boundary,5,605,326,0.5388429752066116,0.5825019708842285,0.6055148756514281,0.650549695767701
2,test,mc_dropout_t30,mc_entropy,far_from_boundary,5,27455,8636,0.31455108359133127,0.4738225518857259,0.7613365399858396,0.5589543477786136
2,test,mc_dropout_t30,mc_entropy,near_boundary,10,1155,580,0.5021645021645021,0.5852046471556802,0.6067346326836582,0.5873666346111777
2,test,mc_dropout_t30,mc_entropy,far_from_boundary,10,26905,8382,0.3115406058353466,0.4714848722149323,0.7639839881010785,0.5600309620341613
2,test,mc_dropout_t30,mc_entropy,near_boundary,20,2236,1082,0.48389982110912344,0.5707445055244688,0.6351715643089855,0.5894622579174481
2,test,mc_dropout_t30,mc_entropy,far_from_boundary,20,25824,7880,0.3051425030978934,0.46797657760435457,0.7676450642551784,0.5589111762575399
2,test,mc_dropout_t30,mc_mutual_info,near_boundary,5,605,326,0.5388429752066116,0.024818307075126063,0.6109571871495482,0.6473447501156386
2,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,27455,8636,0.31455108359133127,0.018460146157283634,0.766259058128185,0.5566703383243564
2,test,mc_dropout_t30,mc_mutual_info,near_boundary,10,1155,580,0.5021645021645021,0.024523117022338836,0.6000689655172414,0.5790493945931792
2,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,26905,8382,0.3115406058353466,0.018342842905328827,0.7694610116234477,0.5589188421644848
2,test,mc_dropout_t30,mc_mutual_info,near_boundary,20,2236,1082,0.48389982110912344,0.02310153183465642,0.6298136834990086,0.5747769340310785
2,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,25824,7880,0.3051425030978934,0.018207224417068686,0.7738293776633904,0.5588627967988385
2,val,deterministic_raw,one_minus_confidence,near_boundary,5,242,130,0.5371900826446281,0.25483487483471073,0.5668269230769231,0.5701609130299072
2,val,deterministic_raw,one_minus_confidence,far_from_boundary,5,14730,4328,0.29382213170400545,0.1698695370665309,0.7365702591318817,0.5274680289550867
2,val,deterministic_raw,one_minus_confidence,near_boundary,10,462,239,0.5173160173160173,0.2475803637662338,0.5617764602135205,0.5520855001463226
2,val,deterministic_raw,one_minus_confidence,far_from_boundary,10,14510,4219,0.29076498966230185,0.168812280678153,0.7389707900199017,0.5276086417482375
2,val,deterministic_raw,one_minus_confidence,near_boundary,20,902,449,0.4977827050997783,0.24036156685144125,0.5609227274738566,0.5379013028399704
2,val,deterministic_raw,one_minus_confidence,far_from_boundary,20,14070,4009,0.2849324804548685,0.16681181147121538,0.7434501870840305,0.5285187255367052
2,val,deterministic_raw,normalised_entropy,near_boundary,5,242,130,0.5371900826446281,0.3273540783779885,0.5720467032967034,0.5800281043012105
2,val,deterministic_raw,normalised_entropy,far_from_boundary,5,14730,4328,0.29382213170400545,0.2439589959447931,0.7496509095897597,0.5523642940512384
2,val,deterministic_raw,normalised_entropy,near_boundary,10,462,239,0.5173160173160173,0.31759310478090624,0.564872319267501,0.5555121865008775
2,val,deterministic_raw,normalised_entropy,far_from_boundary,10,14510,4219,0.29076498966230185,0.24300535374400392,0.7522091954648297,0.5533526644475396
2,val,deterministic_raw,normalised_entropy,near_boundary,20,902,449,0.4977827050997783,0.31088936710767373,0.566797937039386,0.5537362769372873
2,val,deterministic_raw,normalised_entropy,far_from_boundary,20,14070,4009,0.2849324804548685,0.24110259332645015,0.7570222490897319,0.5535859108874457
2,val,mc_dropout_t30,mc_entropy,near_boundary,5,242,132,0.5454545454545454,0.687424238201631,0.5944903581267217,0.6256300548947775
2,val,mc_dropout_t30,mc_entropy,far_from_boundary,5,14730,4396,0.298438560760353,0.5074318775286277,0.7483704858279419,0.5593881747829054
2,val,mc_dropout_t30,mc_entropy,near_boundary,10,462,240,0.5194805194805194,0.666972591279647,0.5845908408408408,0.5891095954096716
2,val,mc_dropout_t30,mc_entropy,far_from_boundary,10,14510,4288,0.29552033080634044,0.5053540237401988,0.7505933116894495,0.5601732925337162
2,val,mc_dropout_t30,mc_entropy,near_boundary,20,902,449,0.4977827050997783,0.6525201884980113,0.5806722813020841,0.5745381622892166
2,val,mc_dropout_t30,mc_entropy,far_from_boundary,20,14070,4079,0.28990760483297795,0.5012263689848099,0.754496035890502,0.5604242793076595
2,val,mc_dropout_t30,mc_mutual_info,near_boundary,5,242,132,0.5454545454545454,0.026283963267837628,0.5805785123966942,0.6322790142470212
2,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,14730,4396,0.298438560760353,0.020487252005501697,0.7781335095701654,0.6081653609967168
2,val,mc_dropout_t30,mc_mutual_info,near_boundary,10,462,240,0.5194805194805194,0.025477035043688513,0.5847222222222223,0.6124012416208183
2,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,14510,4288,0.29552033080634044,0.020425055200666616,0.7803723636574027,0.6088058344526269
2,val,mc_dropout_t30,mc_mutual_info,near_boundary,20,902,449,0.4977827050997783,0.025166535334963044,0.596559929595815,0.5852444831876376
2,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,14070,4079,0.28990760483297795,0.02028697414923383,0.7840175181934396,0.610653229042589
